portfolio_id,portfolio_name,portfolio_type,layer,era,month,first_trade_date,boundary_date,ledger_effective_date,expanded_switch_date,boundary_source,ledger_verified
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2017-05-01,2017-05-01,2017-05-02,2017-05-01,2017-05-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2017-06-01,2017-06-01,2017-06-02,2017-06-01,2017-06-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2017-07-01,2017-07-03,2017-07-05,2017-07-03,2017-07-05,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2017-08-01,2017-08-01,2017-08-02,2017-08-01,2017-08-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2017-09-01,2017-09-01,2017-09-05,2017-09-01,2017-09-05,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2017-10-01,2017-10-02,2017-10-03,2017-10-02,2017-10-03,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2017-11-01,2017-11-01,2017-11-02,2017-11-01,2017-11-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2017-12-01,2017-12-01,2017-12-04,2017-12-01,2017-12-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2018-01-01,2018-01-02,2018-01-03,2018-01-02,2018-01-03,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2018-02-01,2018-02-01,2018-02-02,2018-02-01,2018-02-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2018-03-01,2018-03-01,2018-03-02,2018-03-01,2018-03-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2018-04-01,2018-04-02,2018-04-03,2018-04-02,2018-04-03,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2018-05-01,2018-05-01,2018-05-02,2018-05-01,2018-05-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2018-06-01,2018-06-01,2018-06-04,2018-06-01,2018-06-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2018-07-01,2018-07-02,2018-07-03,2018-07-02,2018-07-03,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2018-08-01,2018-08-01,2018-08-02,2018-08-01,2018-08-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2018-09-01,2018-09-04,2018-09-05,2018-09-04,2018-09-05,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2018-10-01,2018-10-01,2018-10-02,2018-10-01,2018-10-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2018-11-01,2018-11-01,2018-11-02,2018-11-01,2018-11-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2018-12-01,2018-12-03,2018-12-04,2018-12-03,2018-12-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2019-01-01,2019-01-02,2019-01-03,2019-01-02,2019-01-03,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2019-02-01,2019-02-01,2019-02-04,2019-02-01,2019-02-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2019-03-01,2019-03-01,2019-03-04,2019-03-01,2019-03-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2019-04-01,2019-04-01,2019-04-02,2019-04-01,2019-04-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2019-05-01,2019-05-01,2019-05-02,2019-05-01,2019-05-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2019-06-01,2019-06-03,2019-06-04,2019-06-03,2019-06-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2019-07-01,2019-07-01,2019-07-02,2019-07-01,2019-07-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2019-09-01,2019-09-03,2019-09-04,2019-09-03,2019-09-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2019-10-01,2019-10-01,2019-10-02,2019-10-01,2019-10-02,expanded_fallback,f
