name,year_month,month_type,root_cause,signal_mismatch,return_mismatch,prod_signal,gs_signal,prod_return,gs_return,diff_return
シン玄武-鉄壁,2020-11,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,XLU,TQQQ,0.0012652616,0.3506135964297541,0.3493483348297541
シン玄武-鉄壁,2023-01,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TQQQ,XLU,0.2886133874,-0.0274396150753835,0.3160530024753835
シン白虎-常勝,2012-03,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,GLD,"TQQQ,TECL",-0.0249247395,0.1402428040942708,0.16516754359427083
シン白虎-常勝,2012-07,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,GLD,"TQQQ,TECL",0.0032973073,0.0491068543470856,0.045809547047085605
シン白虎-常勝,2012-08,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,GLD,"TQQQ,TECL",0.0575461294,0.1176112640223679,0.060065134622367906
シン白虎-常勝,2012-09,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,GLD,"TQQQ,TECL",0.0531350996,0.047663560549041,0.005471539050958998
シン白虎-常勝,2013-04,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,GLD,"TQQQ,TECL",-0.0904445256,0.0551501991814622,0.1455947247814622
シン白虎-常勝,2013-05,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,GLD,"TQQQ,TECL",-0.0413969146,0.0985906086626208,0.13998752326262082
シン白虎-常勝,2013-06,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,GLD,"TQQQ,TECL",-0.1100393364,-0.0627469676745995,0.047292368725400505
シン白虎-常勝,2017-01,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,"TECL,TQQQ",GLD,0.1394734031,0.0459770186941042,0.0934963844058958
シン白虎-常勝,2017-02,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,"TECL,TQQQ",GLD,0.1285824201,0.0289551682259483,0.0996272518740517
シン白虎-常勝,2017-03,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,"TECL,TQQQ",GLD,0.0458130206,0.00601796121606,0.03979505938394
