name,variant_id,uuid,year_month,prod_return_open,gs_return_open,diff_open,prod_return_close,gs_return_close,diff_close,parity_status
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2024-02,0.1312174789,0.1312173483694184,1.3053058159351316e-07,0.1513610767,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2024-03,0.0144936114,0.014493673089119,6.168911900056306e-08,-0.0269443384,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2024-04,0.1631942919,-0.1773656442656733,0.3405599361656733,0.1355547817,,,FAIL
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2024-05,-0.0636815562,0.235349960801382,0.29903151700138203,-0.093011571,,,FAIL
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2024-06,-0.0006544566,-0.00065424059851,2.1600149000000363e-07,0.0472223088,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2024-07,-0.1423190354,-0.1423191259937632,9.059376321340906e-08,-0.1600423935,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2024-08,-0.0300088347,-0.030008927804336,9.310433599779566e-08,-0.0329437946,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2024-09,0.0766565952,0.0766567437219016,1.4852190159675427e-07,0.1250067238,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2024-10,-0.0424744942,-0.0424746865964381,1.9239643810065044e-07,0.0252758422,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2024-11,0.1444106093,0.1444107292757396,1.1997573962085895e-07,0.1564871857,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2024-12,0.1952949339,0.1952949339049292,4.929195940306386e-12,0.2273852586,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2025-01,-0.0291114623,-0.0291114622711601,2.8839902688204688e-11,-0.0215246343,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2025-02,-0.0949499615,-0.0949498543079057,1.0719209429799204e-07,-0.142598227,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2025-03,0.0027818408,0.0027817219769503,1.1882304969991486e-07,0.0335837634,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2025-04,0.0158204015,0.0158204015242275,2.4227498479634235e-11,-0.0342764461,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2025-05,0.2066711744,0.2066711743970649,2.9350966102015263e-12,0.2698476613,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2025-06,-0.0982249132,0.2495749115949125,0.3477998247949125,-0.1020916312,,,FAIL
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2025-07,0.0169120923,0.0581410742148489,0.041228981914848896,0.0057236656,,,FAIL
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2025-08,0.0681330797,0.0681330796594608,4.0539196999311855e-11,0.079674762,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2025-09,-0.1250140975,-0.1250140975285378,2.8537783247628568e-11,-0.1206536463,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2025-10,0.2093288876,0.2093288875679302,3.2069819022595425e-11,0.1478335789,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2025-11,-0.1595612126,-0.1595612125851995,1.4800494163580424e-11,-0.1266106978,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2025-12,0.0460333846,0.0460333845561004,4.389959923356557e-11,-0.0101670187,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2026-01,-0.0382090165,-0.0382090165241932,2.4193202996514174e-11,0.0278311743,,,PASS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2026-02,-0.0971290284,,,-0.1013727572,,,NO_GS
シン朱雀-鉄壁,DM3_STMV_T2_Be_L0005,5fa40ad2-3c57-4648-947b-1ae889d89887,2026-03,0.0949479807,,,0.0978260261,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2010-06,0.0,,,0.0,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2010-07,0.2560969772,,,0.2961425006,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2010-08,-0.1499652027,,,-0.1270035854,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2010-09,0.4105951148,,,0.3165771259,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2010-10,0.0386209233,,,0.0233495805,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2010-11,0.0215280427,,,0.0262280682,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2010-12,0.021811151,,,0.0193528957,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2011-01,-0.0587725824,,,-0.0521738909,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2011-02,0.0616763928,,,0.0705657149,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2011-03,0.0005772286,,,-0.0059273144,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2011-04,0.0923910089,,,0.0805316592,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2011-05,-0.0118843455,,,-0.003324247,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2011-06,-0.0327409397,,,-0.0332200044,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2011-07,0.0878005471,,,0.0882495632,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2011-08,0.1268178133,,,0.1277580126,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2011-09,-0.0921438564,,,-0.0950693701,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2011-10,0.256086168,,,0.3167153453,,,NO_GS
シン白虎-激攻,DM6_SGLD_T1_Qj_L0247,49421d93-ad5c-4b8e-8540-639ab76294d3,2011-11,-0.0304491171,,,-0.0051502238,,,NO_GS
