pid,name,year_month,prod_signal,prod_holding_signal
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2022-01,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2022-02,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2022-03,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2022-04,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2022-05,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2022-06,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2022-07,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2022-08,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2022-09,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2022-10,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2022-11,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2022-12,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2023-01,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2023-02,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2023-03,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2023-04,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2023-05,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2023-06,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2023-07,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2023-08,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2023-09,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2023-10,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2023-11,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2023-12,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2024-01,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2024-02,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2024-03,TECL,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2024-04,XLU,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2024-05,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2024-06,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2024-07,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2024-08,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2024-09,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2024-10,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2024-11,XLU,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2024-12,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2025-01,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2025-02,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2025-03,TQQQ,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2025-04,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2025-05,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2025-06,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2025-07,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2025-08,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2025-09,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2025-10,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2025-11,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2025-12,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2026-01,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2026-02,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2026-03,TECL,TECL
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2011-02,"TECL,TQQQ",Cash
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2011-03,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2011-04,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2011-05,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2011-06,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2011-07,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2011-08,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2011-09,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2011-10,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2011-11,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2011-12,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2012-01,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2012-02,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2012-03,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2012-04,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2012-05,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2012-06,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2012-07,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2012-08,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2012-09,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2012-10,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2012-11,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2012-12,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-01,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-02,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-03,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-04,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-05,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-06,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-07,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-08,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-09,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-10,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-11,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-12,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-01,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-02,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-03,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-04,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-05,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-06,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-07,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-08,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-09,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-10,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-11,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-12,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-01,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-02,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-03,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-04,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-05,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-06,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-07,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-08,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-09,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-10,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-11,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-12,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-01,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-02,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-03,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-04,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-05,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-06,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-07,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-08,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-09,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-10,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-11,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-12,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-01,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-02,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-03,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-04,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-05,"TECL,TQQQ","TECL,TQQQ"
