pid,name,year_month,prod_holding_signal,gs_holding_signal,match
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-07,XLU,"TQQQ,TECL",MISMATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-08,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-09,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-10,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-11,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2013-12,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-01,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-02,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-03,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-04,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-06,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-07,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-08,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-09,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-11,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2014-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-01,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-02,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-03,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-06,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-07,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-08,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-09,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-11,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2015-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-01,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-02,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-03,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-06,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-07,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-08,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-09,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-11,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2016-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-01,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-02,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-03,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-06,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-07,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-08,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-09,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-11,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-01,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-02,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-03,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-04,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-05,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-06,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-07,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-08,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-09,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-10,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-11,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-12,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-01,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-02,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-03,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-06,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-07,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-08,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-09,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-11,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-01,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-02,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-03,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-06,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-07,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-08,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-09,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-11,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-12,"TECL,TQQQ","TQQQ,TECL",MATCH
