# precision: git commit 時刻が SSOT(状態遷移ごとの commit 以降は事象時刻≈commit 時刻。08-28 09:15 以前は 30 分束 commit ゆえ 0m が多い)
id	state	registered_at	started_at	resolved_at	lead_start_min	lead_resolve_min	reopened
T75	x	2026-08-27T15:45:22+09:00	2026-08-27T15:45:22+09:00	2026-08-27T16:09:05+09:00	0	23	no
T76	x	2026-08-27T16:39:02+09:00	2026-08-27T17:08:57+09:00	2026-08-27T19:26:50+09:00	29	137	no
T77	x	2026-08-27T16:44:11+09:00	2026-08-27T16:44:11+09:00	2026-08-27T16:45:30+09:00	0	1	no
T80	x	2026-08-27T18:09:33+09:00	2026-08-27T18:28:32+09:00	2026-08-27T19:33:04+09:00	18	64	no
T78	x	2026-08-27T18:09:33+09:00	2026-08-27T18:09:33+09:00	2026-08-27T18:09:33+09:00	0	0	no
T79	x	2026-08-27T18:09:33+09:00	2026-08-27T18:09:33+09:00	2026-08-27T23:05:14+09:00	0	295	no
T81	x	2026-08-27T19:26:50+09:00	2026-08-27T19:26:50+09:00	2026-08-27T19:26:50+09:00	0	0	yes
T82	x	2026-08-27T19:26:50+09:00	2026-08-27T19:26:50+09:00	2026-08-27T19:29:43+09:00	0	2	no
T83	x	2026-08-27T19:26:50+09:00	2026-08-27T23:05:14+09:00	2026-08-27T23:05:14+09:00	218	0	no
T84	x	2026-08-27T19:26:50+09:00	2026-08-27T20:35:55+09:00	2026-08-27T20:35:55+09:00	69	0	no
T85	x	2026-08-27T19:42:44+09:00	2026-08-27T19:42:44+09:00	2026-08-27T20:43:46+09:00	0	61	no
T86	x	2026-08-27T19:42:44+09:00	2026-08-27T19:42:44+09:00	2026-08-27T19:56:36+09:00	0	13	no
T87	x	2026-08-27T20:35:55+09:00	2026-08-27T23:05:14+09:00	2026-08-27T23:05:14+09:00	149	0	no
T88	x	2026-08-27T20:43:46+09:00	2026-08-27T23:05:14+09:00	2026-08-27T23:05:14+09:00	141	0	no
T89	x	2026-08-27T20:50:50+09:00	2026-08-27T20:50:50+09:00	2026-08-27T21:16:39+09:00	0	25	no
T90	x	2026-08-27T23:05:14+09:00	2026-08-27T23:05:14+09:00	2026-08-27T23:05:14+09:00	0	0	no
T92	x	2026-08-27T23:05:14+09:00	2026-08-28T09:07:08+09:00	2026-08-28T09:51:01+09:00	601	43	no
T93	x	2026-08-27T23:05:14+09:00	2026-08-27T23:05:14+09:00	2026-08-28T02:29:52+09:00	0	204	no
T94	x	2026-08-27T23:05:14+09:00	2026-08-27T23:05:14+09:00	2026-08-27T23:05:14+09:00	0	0	no
T91	x	2026-08-27T23:05:14+09:00	2026-08-28T03:59:47+09:00	2026-08-28T04:29:15+09:00	294	29	no
T95	x	2026-08-28T01:36:03+09:00	2026-08-28T01:36:03+09:00	2026-08-28T01:36:03+09:00	0	0	no
T96	x	2026-08-28T01:36:03+09:00	2026-08-28T01:36:03+09:00	2026-08-28T02:29:52+09:00	0	53	no
T97	x	2026-08-28T01:36:03+09:00	2026-08-28T01:36:03+09:00	2026-08-28T01:36:03+09:00	0	0	no
T98	~	2026-08-28T01:36:03+09:00	2026-08-28T01:36:03+09:00		0		no
T99	x	2026-08-28T01:36:03+09:00	2026-08-28T01:36:03+09:00	2026-08-28T02:29:52+09:00	0	53	no
T100	x	2026-08-28T01:36:03+09:00	2026-08-28T06:40:32+09:00	2026-08-28T07:02:59+09:00	304	22	no
T101	x	2026-08-28T01:36:03+09:00	2026-08-28T01:36:03+09:00	2026-08-28T01:36:03+09:00	0	0	no
T102	x	2026-08-28T01:36:03+09:00	2026-08-28T03:59:47+09:00	2026-08-28T04:29:15+09:00	143	29	no
T103	x	2026-08-28T01:36:03+09:00	2026-08-28T01:36:03+09:00	2026-08-28T01:36:03+09:00	0	0	no
T104	x	2026-08-28T01:36:03+09:00	2026-08-28T03:59:47+09:00	2026-08-28T04:11:01+09:00	143	11	no
T105	 	2026-08-28T01:36:03+09:00					no
T106	 	2026-08-28T01:36:03+09:00	2026-08-28T09:07:08+09:00		451		no
T107	x	2026-08-28T01:36:03+09:00	2026-08-28T09:07:08+09:00	2026-08-28T09:53:50+09:00	451	46	yes
T108	x	2026-08-28T01:36:03+09:00	2026-08-28T07:10:42+09:00	2026-08-28T07:29:59+09:00	334	19	yes
T109	x	2026-08-28T01:36:03+09:00	2026-08-28T05:10:38+09:00	2026-08-28T06:18:34+09:00	214	67	no
T110	x	2026-08-28T01:36:03+09:00	2026-08-28T01:36:03+09:00	2026-08-28T09:07:08+09:00	0	451	no
T111	x	2026-08-28T01:36:03+09:00	2026-08-28T01:36:03+09:00	2026-08-28T01:36:03+09:00	0	0	no
T112	x	2026-08-28T02:29:52+09:00	2026-08-28T02:29:52+09:00	2026-08-28T03:59:47+09:00	0	89	no
T113	x	2026-08-28T03:59:47+09:00	2026-08-28T03:59:47+09:00	2026-08-28T04:29:15+09:00	0	29	yes
T114	x	2026-08-28T03:59:47+09:00	2026-08-28T03:59:47+09:00	2026-08-28T06:30:41+09:00	0	150	no
T115	x	2026-08-28T03:59:47+09:00	2026-08-28T03:59:47+09:00	2026-08-28T03:59:47+09:00	0	0	no
T116	x	2026-08-28T04:11:01+09:00	2026-08-28T04:11:01+09:00	2026-08-28T04:11:01+09:00	0	0	no
T117	x	2026-08-28T04:41:39+09:00	2026-08-28T04:41:39+09:00	2026-08-28T05:24:51+09:00	0	43	no
T118	x	2026-08-28T04:41:39+09:00	2026-08-28T04:41:39+09:00	2026-08-28T04:41:39+09:00	0	0	no
T119	x	2026-08-28T05:41:04+09:00	2026-08-28T05:41:04+09:00	2026-08-28T06:10:18+09:00	0	29	no
T120	x	2026-08-28T07:10:42+09:00	2026-08-28T07:10:42+09:00	2026-08-28T09:30:05+09:00	0	139	no
T121	x	2026-08-28T07:10:42+09:00	2026-08-28T07:38:46+09:00	2026-08-28T07:46:47+09:00	28	8	no
T122	~	2026-08-28T07:44:11+09:00	2026-08-28T07:44:11+09:00		0		no
T123	x	2026-08-28T08:09:04+09:00	2026-08-28T08:09:04+09:00	2026-08-28T08:09:04+09:00	0	0	no
T124	x	2026-08-28T09:07:08+09:00	2026-08-28T09:07:08+09:00	2026-08-28T12:35:39+09:00	0	208	no
